Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
581,0.76,-255.0,90.0
582,0.75,-255.0,90.0
583,0.75,-255.0,100.0
584,0.75,-255.0,90.0
585,0.74,-255.0,90.0
586,0.74,-255.0,100.0
587,0.74,-255.0,90.0
588,0.73,-255.0,90.0
589,0.73,-255.0,83.0
590,0.73,-255.0,90.0
591,0.72,-255.0,83.0
592,0.72,-255.0,90.0
593,0.72,-255.0,90.0
594,0.71,-255.0,90.0
595,0.71,-255.0,90.0
596,0.71,-255.0,100.0
597,0.7,-255.0,90.0
598,0.7,-255.0,90.0
599,0.7,-255.0,90.0
600,0.69,-255.0,100.0
601,0.69,-255.0,90.0
602,0.69,-255.0,90.0
603,0.68,-255.0,100.0
604,0.68,-255.0,83.0
605,0.68,-255.0,90.0
606,0.68,-255.0,90.0
607,0.67,-255.0,90.0
608,0.67,-255.0,83.0
609,0.67,-255.0,90.0
610,0.66,-255.0,90.0
611,0.66,-255.0,90.0
612,0.66,-255.0,90.0
613,0.66,-255.0,100.0
614,0.65,-255.0,90.0
615,0.65,-255.0,90.0
616,0.65,-255.0,100.0
617,0.65,-255.0,90.0
618,0.64,-255.0,90.0
619,0.64,-255.0,83.0
620,0.64,-255.0,100.0
621,0.63,-255.0,83.0
622,0.63,-255.0,90.0
623,0.63,-255.0,90.0
624,0.63,-255.0,90.0
625,0.62,-255.0,83.0
626,0.62,-255.0,100.0
627,0.62,-255.0,90.0
628,0.62,-255.0,90.0
629,0.61,255.0,90.0
630,0.61,255.0,100.0
631,0.61,255.0,90.0
632,0.61,255.0,83.0
633,0.6,255.0,100.0
634,0.6,255.0,83.0
635,0.6,255.0,90.0
636,0.6,255.0,83.0
637,0.59,255.0,100.0
638,0.59,255.0,90.0
639,0.59,255.0,90.0
640,0.59,255.0,100.0
641,0.59,255.0,90.0
642,0.58,255.0,90.0
643,0.58,255.0,83.0
644,0.58,255.0,100.0
645,0.58,255.0,83.0
646,0.57,255.0,90.0
647,0.57,255.0,100.0
648,0.57,255.0,90.0
649,0.57,255.0,90.0
650,0.57,255.0,90.0
651,0.56,255.0,100.0
652,0.56,255.0,83.0
653,0.56,255.0,90.0
654,0.56,255.0,90.0
655,0.55,255.0,90.0
656,0.55,255.0,90.0
657,0.55,255.0,90.0
658,0.55,255.0,100.0
659,0.55,255.0,90.0
660,0.54,255.0,90.0
661,0.54,255.0,90.0
