Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
365,6.74,5.0,255.0,0.0,12.0
366,6.78,5.0,255.0,0.0,10.0
367,6.81,5.0,255.0,0.0,11.0
368,6.85,5.0,255.0,0.0,11.0
369,6.89,5.0,255.0,0.0,10.0
370,7.03,5.0,255.0,0.0,11.0
371,7.06,5.0,255.0,0.0,11.0
372,7.1,5.0,255.0,0.0,12.0
373,7.13,5.0,255.0,0.0,11.0
374,7.17,5.0,255.0,0.0,11.0
375,7.31,5.0,255.0,0.0,11.0
376,7.34,5.0,255.0,0.0,11.0
377,7.38,5.0,255.0,0.0,10.0
378,7.51,5.0,255.0,0.0,11.0
379,7.54,5.0,255.0,0.0,12.0
380,7.57,5.0,255.0,0.0,10.0
381,7.71,5.0,255.0,0.0,12.0
382,7.73,5.0,255.0,0.0,11.0
383,7.87,5.0,255.0,0.0,11.0
384,7.89,5.0,255.0,0.0,11.0
385,7.92,5.0,255.0,0.0,11.0
386,8.06,5.0,255.0,0.0,11.0
387,8.09,5.0,255.0,0.0,11.0
388,8.11,5.0,255.0,0.0,11.0
389,8.24,5.0,255.0,0.0,11.0
390,8.27,5.0,255.0,0.0,12.0
391,8.29,5.0,255.0,0.0,10.0
392,8.41,5.0,255.0,0.0,11.0
393,8.44,5.0,255.0,0.0,11.0
394,8.57,5.0,255.0,0.0,10.0
395,8.59,5.0,255.0,0.0,12.0
396,8.61,5.0,255.0,0.0,11.0
397,8.74,5.0,255.0,0.0,12.0
398,8.76,5.0,255.0,0.0,11.0
399,8.78,5.0,255.0,0.0,12.0
400,8.9,5.0,255.0,0.0,11.0
401,8.92,5.0,255.0,0.0,11.0
402,9.05,5.0,255.0,0.0,10.0
403,9.06,5.0,255.0,0.0,11.0
404,9.08,5.0,255.0,0.0,12.0
405,9.2,5.0,255.0,0.0,10.0
406,9.21,5.0,255.0,0.0,12.0
407,9.34,5.0,255.0,0.0,11.0
408,9.35,5.0,255.0,0.0,10.0
409,9.36,5.0,255.0,0.0,11.0
410,9.47,5.0,255.0,0.0,11.0
411,9.49,5.0,255.0,0.0,11.0
412,9.6,5.0,255.0,0.0,11.0
413,9.61,5.0,255.0,0.0,11.0
414,9.73,5.0,255.0,0.0,11.0
415,9.86,5.0,255.0,0.0,12.0
416,9.86,5.0,255.0,0.0,10.0
417,9.97,5.0,255.0,0.0,11.0
418,9.98,5.0,255.0,0.0,11.0
419,10.1,5.0,255.0,0.0,10.0
